,QUEHATA,VALLE DE ZONGO - BOTIJILACA,VALLE DE ZONGO - CAHUA,VALLE DE ZONGO - CHURURAQUI,VALLE DE ZONGO - CUTICUCHO,VALLE DE ZONGO - HARCA,VALLE DE ZONGO - HUAJI,VALLE DE ZONGO - SAINANI,YANACACHI
2020-08-05 01:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 02:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 03:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 04:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 05:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 06:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 07:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 08:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 09:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 10:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 11:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 12:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 13:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 14:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 15:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 16:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 17:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 18:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 19:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 20:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 21:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
2020-08-05 22:00:00+00:00,0.04061393,0.244641425,0.375405535,0.386739244,0.205997292,0.407856896,0.366266641,0.407776797,0.109890232
