,SISTEMA ZONGO,VALLE DE ZONGO - TIQUIMANI,VALLE DE ZONGO - SANTA ROSA,CHOJLLA
2020-02-27 13:00:00+00:00,0.875075163,0.870564527,0.936557529,0.824384526
2020-02-27 14:00:00+00:00,0.876602473,0.87366539,0.937714572,0.826451205
2020-02-27 15:00:00+00:00,0.878109029,0.876722607,0.938855515,0.828488681
2020-02-27 16:00:00+00:00,0.879584486,0.879715376,0.939972572,0.830483012
2020-02-27 17:00:00+00:00,0.881018832,0.882623583,0.94105821,0.83242072
2020-02-27 18:00:00+00:00,0.882402503,0.885428025,0.942105238,0.83428894
2020-02-27 19:00:00+00:00,0.883726494,0.888110636,0.943106889,0.836075574
2020-02-27 20:00:00+00:00,0.884982474,0.890654715,0.944056904,0.837769443
2020-02-27 21:00:00+00:00,0.8861629,0.893045148,0.944949619,0.839360437
2020-02-27 22:00:00+00:00,0.887261127,0.895268635,0.945780047,0.840839674
2020-02-27 23:00:00+00:00,0.888271522,0.897313918,0.946543967,0.842199641
2020-02-28 00:00:00+00:00,0.889189578,0.899172003,0.947238002,0.843434359
2020-02-28 01:00:00+00:00,0.890012027,0.900836385,0.94785971,0.844539522
2020-02-28 02:00:00+00:00,0.890736902,0.902303179,0.948407627,0.845512594
2020-02-28 03:00:00+00:00,0.8913635,0.903571036,0.948881241,0.846352744
2020-02-28 04:00:00+00:00,0.891892285,0.904640959,0.949280918,0.847060729
2020-02-28 05:00:00+00:00,0.892324807,0.905516126,0.94960784,0.847638766
2020-02-28 06:00:00+00:00,0.892663604,0.906201706,0.949863934,0.848090412
2020-02-28 07:00:00+00:00,0.892912116,0.90670468,0.950051806,0.848420442
2020-02-28 08:00:00+00:00,0.893074595,0.907033661,0.950174671,0.848634721
2020-02-28 09:00:00+00:00,0.893156014,0.90719871,0.950236288,0.848740086
2020-02-28 10:00:00+00:00,0.893161975,0.907211153,0.950240889,0.848744219
2020-02-28 11:00:00+00:00,0.893098623,0.907083409,0.950193115,0.848655526
2020-02-28 12:00:00+00:00,0.892972553,0.906828797,0.950097944,0.848483014
2020-02-28 13:00:00+00:00,0.892790719,0.906461363,0.949960627,0.848236165
2020-02-28 14:00:00+00:00,0.892560347,0.905995698,0.949786618,0.847924817
2020-02-28 15:00:00+00:00,0.892288842,0.905446753,0.949581506,0.847559038
2020-02-28 16:00:00+00:00,0.891983702,0.904829662,0.949350948,0.847149001
2020-02-28 17:00:00+00:00,0.891652422,0.904159557,0.949100602,0.846704867
2020-02-28 18:00:00+00:00,0.891302407,0.903451391,0.948836056,0.846236657
2020-02-28 19:00:00+00:00,0.890940884,0.902719755,0.948562767,0.845754127
2020-02-28 20:00:00+00:00,0.890574808,0.901978695,0.948285983,0.845266651
2020-02-28 21:00:00+00:00,0.890210775,0.901241534,0.948010684,0.844783093
2020-02-28 22:00:00+00:00,0.889854928,0.900520689,0.947741511,0.844311686
2020-02-28 23:00:00+00:00,0.889512871,0.899827491,0.947482697,0.843859908
2020-02-29 00:00:00+00:00,0.889189578,0.899172003,0.947238002,0.843434359
2020-02-29 01:00:00+00:00,0.888889302,0.898562841,0.947010642,0.843040638
2020-02-29 02:00:00+00:00,0.888615517,0.898007056,0.94680325,0.842683266
2020-02-29 03:00:00+00:00,0.888370936,0.897510165,0.946617882,0.842365709
2020-02-29 04:00:00+00:00,0.888157553,0.897076247,0.946456057,0.842090444
2020-02-29 05:00:00+00:00,0.887976697,0.896708033,0.946318789,0.841859029
2020-02-29 06:00:00+00:00,0.887829073,0.896407002,0.946206626,0.841672171
2020-02-29 07:00:00+00:00,0.887714814,0.89617348,0.94611968,0.841529794
2020-02-29 08:00:00+00:00,0.887633523,0.896006729,0.94605767,0.841431105
2020-02-29 09:00:00+00:00,0.887584329,0.895905046,0.94601995,0.841374666
2020-02-29 10:00:00+00:00,0.887565925,0.895865852,0.946005551,0.84135846
2020-02-29 11:00:00+00:00,0.887576623,0.895885796,0.946013211,0.84137996
2020-02-29 12:00:00+00:00,0.887614396,0.895960841,0.946041416,0.841436197
2020-02-29 13:00:00+00:00,0.88767693,0.896086362,0.94608843,0.841523827
2020-02-29 14:00:00+00:00,0.887761666,0.896257242,0.946152334,0.841639202
2020-02-29 15:00:00+00:00,0.887865853,0.896467966,0.946231061,0.841778436
2020-02-29 16:00:00+00:00,0.887986593,0.896712713,0.946322433,0.841937474
