,2020,CNDC
12/01/2020 17:00,0.360343602,0.346234649
12/01/2020 18:00,0.360720725,0.346074909
12/01/2020 19:00,0.361097848,0.345891746
12/01/2020 20:00,0.36147497,0.345687942
12/01/2020 21:00,0.361852093,0.345466471
12/01/2020 22:00,0.362229216,0.34523047
12/01/2020 23:00,0.362606339,0.344983214
13/01/2020 00:00,0.363212952,0.344728089
13/01/2020 01:00,0.363947714,0.344468568
13/01/2020 02:00,0.364682477,0.344208184
13/01/2020 03:00,0.365417239,0.343950503
13/01/2020 04:00,0.366152002,0.343699092
13/01/2020 05:00,0.366886764,0.343457487
13/01/2020 06:00,0.367621527,0.343229161
13/01/2020 07:00,0.368340278,0.34301749
13/01/2020 08:00,0.368717401,0.342825722
13/01/2020 09:00,0.369094524,0.342656943
13/01/2020 10:00,0.369471647,0.342514044
13/01/2020 11:00,0.36984877,0.34239969
13/01/2020 12:00,0.370225893,0.342316286
13/01/2020 13:00,0.370603016,0.342265946
13/01/2020 14:00,0.370980139,0.342250458
13/01/2020 15:00,0.371357262,0.342271253
13/01/2020 16:00,0.371734384,0.34232937
13/01/2020 17:00,0.372111507,0.34242543
13/01/2020 18:00,0.37248863,0.342559593
13/01/2020 19:00,0.372865753,0.342731534
13/01/2020 20:00,0.373242876,0.342940407
13/01/2020 21:00,0.373619999,0.343184813
13/01/2020 22:00,0.373997122,0.343462765
13/01/2020 23:00,0.374699556,0.343771659
14/01/2020 00:00,0.375434318,0.34410824
14/01/2020 01:00,0.376169081,0.344468568
14/01/2020 02:00,0.376903843,0.344847987
14/01/2020 03:00,0.377638606,0.345241128
14/01/2020 04:00,0.378373368,0.345641985
14/01/2020 05:00,0.379108131,0.346044031
14/01/2020 06:00,0.379842893,0.346440328
14/01/2020 07:00,0.380577656,0.346823643
14/01/2020 08:00,0.380970528,0.34718656
14/01/2020 09:00,0.381347651,0.347521593
14/01/2020 10:00,0.381724774,0.347821301
14/01/2020 11:00,0.382101897,0.348078397
14/01/2020 12:00,0.382521172,0.348285869
14/01/2020 13:00,0.382898295,0.348437085
14/01/2020 14:00,0.383275418,0.34852591
14/01/2020 15:00,0.383652541,0.348546822
14/01/2020 16:00,0.384029664,0.34849502
14/01/2020 17:00,0.384406787,0.348366541
14/01/2020 18:00,0.38478391,0.34815837
14/01/2020 19:00,0.385161033,0.347868559
14/01/2020 20:00,0.385538156,0.347496333
14/01/2020 21:00,0.385915279,0.34704221
14/01/2020 22:00,0.386292402,0.34650811
14/01/2020 23:00,0.387027165,0.345897468
15/01/2020 00:00,0.387761927,0.345215351
15/01/2020 01:00,0.38849669,0.344468568
15/01/2020 02:00,0.389231452,0.343665783
15/01/2020 03:00,0.389966215,0.34281755
15/01/2020 04:00,0.390700977,0.341936171
15/01/2020 05:00,0.39143574,0.341035479
15/01/2020 06:00,0.392170502,0.340130615
15/01/2020 07:00,0.392889339,0.339237811
15/01/2020 08:00,0.393266462,0.338374171
15/01/2020 09:00,0.393643585,0.337557446
15/01/2020 10:00,0.394020708,0.336805821
15/01/2020 11:00,0.394397831,0.336137688
15/01/2020 12:00,0.394774954,0.335571434
15/01/2020 13:00,0.395152077,0.335125212
15/01/2020 14:00,0.3955292,0.334816731
15/01/2020 15:00,0.395906323,0.334663028
15/01/2020 16:00,0.396283446,0.334680251
15/01/2020 17:00,0.396660568,0.334883441
15/01/2020 18:00,0.397037691,0.335286309
15/01/2020 19:00,0.397414814,0.335901019
15/01/2020 20:00,0.397791937,0.336737965
15/01/2020 21:00,0.39816906,0.337805553
15/01/2020 22:00,0.398546183,0.339109984
15/01/2020 23:00,0.399095748,0.340655026
16/01/2020 00:00,0.39983051,0.342441802
16/01/2020 01:00,0.400565273,0.344468568
16/01/2020 02:00,0.401300035,0.346730495
16/01/2020 03:00,0.402034798,0.349219562
16/01/2020 04:00,0.40276956,0.351924721
16/01/2020 05:00,0.403504323,0.354832169
16/01/2020 06:00,0.404239085,0.357925623
16/01/2020 07:00,0.404814962,0.361186596
16/01/2020 08:00,0.405192085,0.364594674
16/01/2020 09:00,0.405569208,0.368127791
16/01/2020 10:00,0.405946331,0.371762505
16/01/2020 11:00,0.406323454,0.375474275
16/01/2020 12:00,0.406700577,0.379237735
16/01/2020 13:00,0.4070777,0.383026973
16/01/2020 14:00,0.407454823,0.386815804
16/01/2020 15:00,0.407831946,0.390578047
16/01/2020 16:00,0.408209069,0.394287802
16/01/2020 17:00,0.408586192,0.397919726
16/01/2020 18:00,0.408963315,0.401449305
16/01/2020 19:00,0.409340438,0.404853136
16/01/2020 20:00,0.409717561,0.4081092
16/01/2020 21:00,0.410094684,0.411197135
16/01/2020 22:00,0.410471807,0.414098519
16/01/2020 23:00,0.410915064,0.416797139
17/01/2020 00:00,0.411271234,0.419279272
17/01/2020 01:00,0.411627404,0.421533958
17/01/2020 02:00,0.411983574,0.423553273
17/01/2020 03:00,0.412339744,0.425332492
17/01/2020 04:00,0.412695914,0.426869982
17/01/2020 05:00,0.413052084,0.428166981
17/01/2020 06:00,0.413408254,0.42922738
17/01/2020 07:00,0.413764424,0.430057497
17/01/2020 08:00,0.414120594,0.430665862
17/01/2020 09:00,0.414476764,0.431062989
17/01/2020 10:00,0.414832934,0.431261157
17/01/2020 11:00,0.415189104,0.431274191
17/01/2020 12:00,0.415545274,0.431117234
17/01/2020 13:00,0.415901444,0.430806533
17/01/2020 14:00,0.416257614,0.430359213
17/01/2020 15:00,0.416613784,0.429793055
17/01/2020 16:00,0.416969954,0.429126278
17/01/2020 17:00,0.417326124,0.428377313
17/01/2020 18:00,0.417682294,0.427564586
17/01/2020 19:00,0.418038464,0.426706293
17/01/2020 20:00,0.418394634,0.425820179
17/01/2020 21:00,0.418750804,0.424923318
17/01/2020 22:00,0.419106974,0.42403189
17/01/2020 23:00,0.419463144,0.423160961
18/01/2020 00:00,0.419819314,0.42232426
18/01/2020 01:00,0.420175484,0.421533958
18/01/2020 02:00,0.420531654,0.420800448
18/01/2020 03:00,0.420887824,0.420132203
18/01/2020 04:00,0.421243994,0.419535813
18/01/2020 05:00,0.421600163,0.419016106
18/01/2020 06:00,0.421956333,0.41857626
18/01/2020 07:00,0.422312503,0.418217923
18/01/2020 08:00,0.422668673,0.417941332
18/01/2020 09:00,0.423024843,0.41774543
