,CORANI,SANTA ISABEL,SAN JOSE 1,SAN JOSE 2,MISICUNI,MIGUILLA,ANGOSTURA,CHOQUETANGA,CARABUCO
2020-04-28 00:00:00+00:00,0.969153543,0.969153543,0.969153543,0.969153543,0.916239117,0.963520455,0.993005785,0.97826312,0.97826312
2020-04-29 00:00:00+00:00,0.969153543,0.969153543,0.969153543,0.969153543,0.916239117,0.963520455,0.993005785,0.97826312,0.97826312
2020-04-30 00:00:00+00:00,0.969153543,0.969153543,0.969153543,0.969153543,0.916239117,0.963520455,0.993005785,0.97826312,0.97826312
2020-05-01 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.913145522,0.980408525,0.994671054,0.98753979,0.98753979
2020-05-02 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.913145522,0.980408525,0.994671054,0.98753979,0.98753979
2020-05-03 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.913145522,0.980408525,0.994671054,0.98753979,0.98753979
2020-05-04 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.913145522,0.980408525,0.994671054,0.98753979,0.98753979
2020-05-05 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.913145522,0.980408525,0.994671054,0.98753979,0.98753979
2020-05-06 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.913145522,0.980408525,0.994671054,0.98753979,0.98753979
2020-05-07 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.913145522,0.980408525,0.994671054,0.98753979,0.98753979
2020-05-08 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.898888085,0.983577934,0.993005785,0.98829186,0.98829186
2020-05-09 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.898888085,0.983577934,0.993005785,0.98829186,0.98829186
2020-05-10 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.898888085,0.983577934,0.993005785,0.98829186,0.98829186
2020-05-11 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.898888085,0.983577934,0.993005785,0.98829186,0.98829186
2020-05-12 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.898888085,0.983577934,0.993005785,0.98829186,0.98829186
2020-05-13 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.898888085,0.983577934,0.993005785,0.98829186,0.98829186
2020-05-14 00:00:00+00:00,0.965060497,0.965060497,0.965060497,0.965060497,0.898888085,0.983577934,0.993005785,0.98829186,0.98829186
2020-05-15 00:00:00+00:00,0.956888963,0.956888963,0.956888963,0.956888963,0.893614272,0.974601,0.985704982,0.980152991,0.980152991
2020-05-16 00:00:00+00:00,0.956888963,0.956888963,0.956888963,0.956888963,0.893614272,0.974601,0.985704982,0.980152991,0.980152991
2020-05-17 00:00:00+00:00,0.956888963,0.956888963,0.956888963,0.956888963,0.893614272,0.974601,0.985704982,0.980152991,0.980152991
2020-05-18 00:00:00+00:00,0.956888963,0.956888963,0.956888963,0.956888963,0.893614272,0.974601,0.985704982,0.980152991,0.980152991
2020-05-19 00:00:00+00:00,0.956888963,0.956888963,0.956888963,0.956888963,0.893614272,0.974601,0.985704982,0.980152991,0.980152991
2020-05-20 00:00:00+00:00,0.956888963,0.956888963,0.956888963,0.956888963,0.893614272,0.974601,0.985704982,0.980152991,0.980152991
2020-05-21 00:00:00+00:00,0.956888963,0.956888963,0.956888963,0.956888963,0.893614272,0.974601,0.985704982,0.980152991,0.980152991
2020-05-22 00:00:00+00:00,0.943652784,0.943652784,0.943652784,0.943652784,0.888377995,0.971432825,0.973182718,0.972307772,0.972307772
2020-05-23 00:00:00+00:00,0.943652784,0.943652784,0.943652784,0.943652784,0.888377995,0.971432825,0.973182718,0.972307772,0.972307772
2020-05-24 00:00:00+00:00,0.943652784,0.943652784,0.943652784,0.943652784,0.888377995,0.971432825,0.973182718,0.972307772,0.972307772
2020-05-25 00:00:00+00:00,0.943652784,0.943652784,0.943652784,0.943652784,0.888377995,0.971432825,0.973182718,0.972307772,0.972307772
2020-05-26 00:00:00+00:00,0.943652784,0.943652784,0.943652784,0.943652784,0.888377995,0.971432825,0.973182718,0.972307772,0.972307772
2020-05-27 00:00:00+00:00,0.943652784,0.943652784,0.943652784,0.943652784,0.888377995,0.971432825,0.973182718,0.972307772,0.972307772
2020-05-28 00:00:00+00:00,0.943652784,0.943652784,0.943652784,0.943652784,0.888377995,0.971432825,0.973182718,0.972307772,0.972307772
2020-05-29 00:00:00+00:00,0.925416391,0.925416391,0.925416391,0.925416391,0.881508901,0.945554448,0.94944854,0.947501494,0.947501494
2020-05-30 00:00:00+00:00,0.925416391,0.925416391,0.925416391,0.925416391,0.881508901,0.945554448,0.94944854,0.947501494,0.947501494
2020-05-31 00:00:00+00:00,0.925416391,0.925416391,0.925416391,0.925416391,0.881508901,0.945554448,0.94944854,0.947501494,0.947501494
2020-06-01 00:00:00+00:00,0.925416391,0.925416391,0.925416391,0.925416391,0.881508901,0.945554448,0.94944854,0.947501494,0.947501494
2020-06-02 00:00:00+00:00,0.925416391,0.925416391,0.925416391,0.925416391,0.881508901,0.945554448,0.94944854,0.947501494,0.947501494
2020-06-03 00:00:00+00:00,0.925416391,0.925416391,0.925416391,0.925416391,0.881508901,0.945554448,0.94944854,0.947501494,0.947501494
2020-06-04 00:00:00+00:00,0.925416391,0.925416391,0.925416391,0.925416391,0.881508901,0.945554448,0.94944854,0.947501494,0.947501494
2020-06-05 00:00:00+00:00,0.908294402,0.908294402,0.908294402,0.908294402,0.876303904,0.929152074,0.916865765,0.92300892,0.92300892
2020-06-06 00:00:00+00:00,0.908294402,0.908294402,0.908294402,0.908294402,0.876303904,0.929152074,0.916865765,0.92300892,0.92300892
2020-06-07 00:00:00+00:00,0.908294402,0.908294402,0.908294402,0.908294402,0.876303904,0.929152074,0.916865765,0.92300892,0.92300892
2020-06-08 00:00:00+00:00,0.908294402,0.908294402,0.908294402,0.908294402,0.876303904,0.929152074,0.916865765,0.92300892,0.92300892
2020-06-09 00:00:00+00:00,0.908294402,0.908294402,0.908294402,0.908294402,0.876303904,0.929152074,0.916865765,0.92300892,0.92300892
2020-06-10 00:00:00+00:00,0.908294402,0.908294402,0.908294402,0.908294402,0.876303904,0.929152074,0.916865765,0.92300892,0.92300892
2020-06-11 00:00:00+00:00,0.908294402,0.908294402,0.908294402,0.908294402,0.876303904,0.929152074,0.916865765,0.92300892,0.92300892
2020-06-12 00:00:00+00:00,0.881314394,0.881314394,0.881314394,0.881314394,0.870035386,0.894444871,0.8865961,0.890520486,0.890520486
2020-06-13 00:00:00+00:00,0.881314394,0.881314394,0.881314394,0.881314394,0.870035386,0.894444871,0.8865961,0.890520486,0.890520486
2020-06-14 00:00:00+00:00,0.881314394,0.881314394,0.881314394,0.881314394,0.870035386,0.894444871,0.8865961,0.890520486,0.890520486
2020-06-15 00:00:00+00:00,0.881314394,0.881314394,0.881314394,0.881314394,0.870035386,0.894444871,0.8865961,0.890520486,0.890520486
2020-06-16 00:00:00+00:00,0.881314394,0.881314394,0.881314394,0.881314394,0.870035386,0.894444871,0.8865961,0.890520486,0.890520486
2020-06-17 00:00:00+00:00,0.881314394,0.881314394,0.881314394,0.881314394,0.870035386,0.894444871,0.8865961,0.890520486,0.890520486
2020-06-18 00:00:00+00:00,0.881314394,0.881314394,0.881314394,0.881314394,0.870035386,0.894444871,0.8865961,0.890520486,0.890520486
2020-06-19 00:00:00+00:00,0.848914107,0.848914107,0.848914107,0.848914107,0.863535396,0.868566044,0.843401825,0.855983935,0.855983935
2020-06-20 00:00:00+00:00,0.848914107,0.848914107,0.848914107,0.848914107,0.863535396,0.868566044,0.843401825,0.855983935,0.855983935
2020-06-21 00:00:00+00:00,0.848914107,0.848914107,0.848914107,0.848914107,0.863535396,0.868566044,0.843401825,0.855983935,0.855983935
2020-06-22 00:00:00+00:00,0.848914107,0.848914107,0.848914107,0.848914107,0.863535396,0.868566044,0.843401825,0.855983935,0.855983935
2020-06-23 00:00:00+00:00,0.848914107,0.848914107,0.848914107,0.848914107,0.863535396,0.868566044,0.843401825,0.855983935,0.855983935
2020-06-24 00:00:00+00:00,0.848914107,0.848914107,0.848914107,0.848914107,0.863535396,0.868566044,0.843401825,0.855983935,0.855983935
2020-06-25 00:00:00+00:00,0.848914107,0.848914107,0.848914107,0.848914107,0.863535396,0.868566044,0.843401825,0.855983935,0.855983935
2020-06-26 00:00:00+00:00,0.813667209,0.813667209,0.813667209,0.813667209,0.857063559,0.839074131,0.804285556,0.821679844,0.821679844
2020-06-27 00:00:00+00:00,0.813667209,0.813667209,0.813667209,0.813667209,0.857063559,0.839074131,0.804285556,0.821679844,0.821679844
2020-06-28 00:00:00+00:00,0.813667209,0.813667209,0.813667209,0.813667209,0.857063559,0.839074131,0.804285556,0.821679844,0.821679844
2020-06-29 00:00:00+00:00,0.813667209,0.813667209,0.813667209,0.813667209,0.857063559,0.839074131,0.804285556,0.821679844,0.821679844
2020-06-30 00:00:00+00:00,0.813667209,0.813667209,0.813667209,0.813667209,0.857063559,0.839074131,0.804285556,0.821679844,0.821679844
2020-07-01 00:00:00+00:00,0.813667209,0.813667209,0.813667209,0.813667209,0.857063559,0.839074131,0.804285556,0.821679844,0.821679844
2020-07-02 00:00:00+00:00,0.813667209,0.813667209,0.813667209,0.813667209,0.857063559,0.839074131,0.804285556,0.821679844,0.821679844
2020-07-03 00:00:00+00:00,0.777285313,0.777285313,0.777285313,0.777285313,0.850100624,0.816392785,0.787722443,0.802057614,0.802057614
2020-07-04 00:00:00+00:00,0.777285313,0.777285313,0.777285313,0.777285313,0.850100624,0.816392785,0.787722443,0.802057614,0.802057614
2020-07-05 00:00:00+00:00,0.777285313,0.777285313,0.777285313,0.777285313,0.850100624,0.816392785,0.787722443,0.802057614,0.802057614
2020-07-06 00:00:00+00:00,0.777285313,0.777285313,0.777285313,0.777285313,0.850100624,0.816392785,0.787722443,0.802057614,0.802057614
2020-07-07 00:00:00+00:00,0.777285313,0.777285313,0.777285313,0.777285313,0.850100624,0.816392785,0.787722443,0.802057614,0.802057614
2020-07-08 00:00:00+00:00,0.777285313,0.777285313,0.777285313,0.777285313,0.850100624,0.816392785,0.787722443,0.802057614,0.802057614
2020-07-09 00:00:00+00:00,0.777285313,0.777285313,0.777285313,0.777285313,0.850100624,0.816392785,0.787722443,0.802057614,0.802057614
