,ZONGO,TIQUIMANI,BOTIJLACA,CUTICUCHO,SANTA ROSA 1,SANTA ROSA 2,SAINANI ,CHURURAQUI,HARCA,CAHUA,HUAJI
25-Jun,0.08,0.06,0.38,0.26,,,0.40,1.51,1.02,0.77,1.34
2-Jul,0.03,0.02,0.34,0.27,,,0.48,1.48,1.22,0.33,2.00
9-Jul,0.07,0.00,0.28,0.22,,,0.35,1.22,0.96,0.59,1.11
16-Jul,0.18,0.04,0.00,0.84,,,0.43,1.48,1.25,1.06,1.88
23-Jul,0.04,0.02,0.34,0.29,,,0.59,1.49,1.37,0.98,1.31
30-Jul,0.08,0.02,0.32,0.26,,,0.59,1.44,1.33,0.88,1.64
6-Aug,0.10,0.02,0.30,0.21,,,0.35,1.46,1.17,0.87,1.65
13-Aug,0.09,0.08,0.29,0.21,,,0.34,1.36,0.92,0.75,1.25
20-Aug,0.19,0.17,0.45,0.80,,,1.40,1.70,2.35,1.45,1.94
27-Aug,0.17,0.09,0.35,0.39,,,0.72,1.31,1.22,0.76,0.96
3-Sep,0.20,0.07,0.55,0.42,,,0.56,1.41,1.49,0.91,1.24
10-Sep,0.28,0.10,0.41,0.54,,,1.72,1.32,1.50,0.71,0.91
17-Sep,0.25,0.01,0.34,0.37,,,0.73,1.37,1.66,1.10,1.09
24-Sep,0.20,0.10,0.34,0.49,,,1.01,1.61,1.65,1.40,1.10
1-Oct,0.24,0.18,0.46,0.65,,,1.17,1.55,2.74,1.59,1.29
8-Oct,0.33,0.17,0.49,0.78,,,1.10,1.51,5.22,1.39,1.04
15-Oct,0.55,0.05,0.50,0.67,,,1.21,1.56,3.03,1.73,1.67
22-Oct,0.51,0.09,0.57,0.75,,,1.09,1.21,3.01,1.36,1.08
29-Oct,0.70,0.09,0.58,0.65,,,0.94,1.57,2.38,1.22,1.42
5-Nov,0.53,0.25,0.85,1.22,,,1.41,2.19,2.81,1.41,2.99
12-Nov,0.72,0.16,0.85,0.80,,,1.33,1.65,3.16,1.92,1.56
19-Nov,0.48,0.16,0.81,0.91,,,1.72,1.95,3.18,1.48,1.76
26-Nov,0.60,0.12,0.59,0.81,,,1.69,1.89,3.62,1.51,1.93
3-Dec,0.88,0.11,0.54,0.72,,,1.44,1.67,3.00,1.44,1.82
10-Dec,0.87,0.74,0.94,1.48,,,1.73,2.71,2.18,2.96,2.06
17-Dec,0.62,0.44,0.94,1.33,,,1.89,3.18,1.99,2.89,1.59
24-Dec,0.56,0.36,0.81,1.47,,,2.12,2.79,2.20,3.18,1.05
7-Jan,0.66,0.60,1.05,1.76,,,1.70,2.89,2.58,3.06,0.87
14-Jan,0.75,0.61,3.40,2.39,,,1.79,5.25,3.46,4.05,6.10
21-Jan,0.82,1.16,4.18,2.86,,,1.83,6.63,4.16,4.88,8.01
28-Jan,0.55,0.74,5.39,4.29,,,1.90,7.68,6.59,5.79,10.83
4-Feb,0.65,0.51,3.08,2.08,,,2.00,6.75,3.01,3.52,10.36
11-Feb,0.98,1.23,3.32,2.64,,,1.67,7.20,3.84,4.50,13.70
18-Feb,0.77,1.45,4.79,3.24,,,2.09,8.27,4.72,5.54,17.27
25-Feb,0.94,2.04,4.91,3.62,,,2.36,9.34,5.29,6.21,19.53
4-Mar,0.61,0.47,2.80,1.94,,,1.46,6.21,2.80,3.27,9.50
11-Mar,0.38,0.25,1.61,1.26,,,1.56,3.71,2.66,2.71,5.46
18-Mar,0.45,0.28,1.55,1.28,,,1.65,3.79,2.05,2.80,5.59
25-Mar,0.45,0.14,1.31,1.12,,,2.01,3.21,2.75,1.85,4.65
1-Apr,0.49,0.14,0.84,0.83,,,1.87,1.92,2.19,1.61,4.77
8-Apr,0.40,0.28,1.12,1.45,,,1.69,2.58,3.26,2.77,5.93
15-Apr,0.35,0.12,0.86,1.01,,,1.97,1.93,3.71,2.00,3.99
22-Apr,0.35,0.07,0.69,0.80,,,1.53,1.67,2.66,2.28,2.32
