,CORANI,MISICUNI,MIGUILLA,ANGOSTURA
Nov ,0.149140011,0.677000073,0.168444005,0.142235353
Nov ,0.149140011,0.677000073,0.168444005,0.142235353
Nov ,0.149140011,0.677000073,0.168444005,0.142235353
Nov ,0.149140011,0.677000073,0.168444005,0.142235353
Nov ,0.149140011,0.677000073,0.168444005,0.142235353
Nov ,0.149140011,0.677000073,0.168444005,0.142235353
Nov ,0.149140011,0.677000073,0.168444005,0.142235353
Nov ,0.135711143,0.6589296,0.145466637,0.146197629
Nov ,0.135711143,0.6589296,0.145466637,0.146197629
Nov ,0.135711143,0.6589296,0.145466637,0.146197629
Nov ,0.135711143,0.6589296,0.145466637,0.146197629
Nov ,0.135711143,0.6589296,0.145466637,0.146197629
Nov ,0.135711143,0.6589296,0.145466637,0.146197629
Nov ,0.135711143,0.6589296,0.145466637,0.146197629
Nov ,0.124390456,0.639329534,0.137389564,0.128634043
Nov ,0.124390456,0.639329534,0.137389564,0.128634043
Nov ,0.124390456,0.639329534,0.137389564,0.128634043
Nov ,0.124390456,0.639329534,0.137389564,0.128634043
Nov ,0.124390456,0.639329534,0.137389564,0.128634043
Nov ,0.124390456,0.639329534,0.137389564,0.128634043
Nov ,0.124390456,0.639329534,0.137389564,0.128634043
Nov ,0.110746549,0.620473932,0.137389564,0.113589626
Nov ,0.110746549,0.620473932,0.137389564,0.113589626
Nov ,0.110746549,0.620473932,0.137389564,0.113589626
Nov ,0.110746549,0.620473932,0.137389564,0.113589626
Dec ,0.110746549,0.620473932,0.137389564,0.113589626
Dec ,0.110746549,0.620473932,0.137389564,0.113589626
Dec ,0.110746549,0.620473932,0.137389564,0.113589626
Dec ,0.122184881,0.603229253,0.171431621,0.1233206
Dec ,0.122184881,0.603229253,0.171431621,0.1233206
Dec ,0.122184881,0.603229253,0.171431621,0.1233206
Dec ,0.122184881,0.603229253,0.171431621,0.1233206
Dec ,0.122184881,0.603229253,0.171431621,0.1233206
Dec ,0.122184881,0.603229253,0.171431621,0.1233206
Dec ,0.122184881,0.603229253,0.171431621,0.1233206
Dec ,0.148735847,0.586841645,0.217812158,0.152780878
Dec ,0.148735847,0.586841645,0.217812158,0.152780878
Dec ,0.148735847,0.586841645,0.217812158,0.152780878
Dec ,0.148735847,0.586841645,0.217812158,0.152780878
Dec ,0.148735847,0.586841645,0.217812158,0.152780878
Dec ,0.148735847,0.586841645,0.217812158,0.152780878
Dec ,0.148735847,0.586841645,0.217812158,0.152780878
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
Dec ,0.158174179,0.570898215,0.195537067,0.174655715
