,CE -> NO,CE -> SU,NO -> CE,CE -> OR,SU -> CE,OR -> CE
2020-01-07 16:00:00,257.28919999999994,181.171954372592,0.0,272.5,0.0,0.0
2020-01-07 17:00:00,257.19919999999996,178.91195437259202,0.0,272.5,0.0,0.0
2020-01-07 18:00:00,263.5471,169.97526888357206,0.0,272.5,0.0,0.0
2020-01-07 19:00:00,299.72,207.5,0.0,272.5,0.0,0.0
2020-01-07 20:00:00,308.8092000000001,207.5,0.0,272.5,0.0,0.0
2020-01-07 21:00:00,283.36920000000003,206.10585437259203,0.0,272.5,0.0,0.0
2020-01-07 22:00:00,237.40999999999997,194.86392405093204,0.0,272.5,0.0,0.0
2020-01-07 23:00:00,209.10709999999997,178.866802061582,0.0,272.5,0.0,0.0
2020-01-08 00:00:00,189.02919999999997,169.246802061582,0.0,272.5,0.0,0.0
2020-01-08 01:00:00,166.46,165.91680206158202,0.0,268.41981908405154,0.0,0.0
2020-01-08 02:00:00,163.19,156.913002061582,0.0,257.59451908405157,0.0,0.0
2020-01-08 03:00:00,156.85999999999999,155.134002061582,0.0,268.8748190840516,0.0,0.0
2020-01-08 04:00:00,166.04999999999998,159.67820206158203,0.0,264.4580190840515,0.0,0.0
2020-01-08 05:00:00,189.24919999999997,160.236802061582,0.0,253.42481908405156,0.0,0.0
2020-01-08 06:00:00,213.06920000000002,159.583102061582,0.0,268.9133190840516,0.0,0.0
2020-01-08 07:00:00,230.6092,166.156802061582,0.0,272.5,0.0,0.0
2020-01-08 08:00:00,242.01919999999998,171.07680206158201,0.0,272.5,0.0,0.0
2020-01-08 09:00:00,247.46919999999997,175.996802061582,0.0,272.5,0.0,0.0
2020-01-08 10:00:00,252.64919999999995,177.72680206158205,0.0,272.5,0.0,0.0
2020-01-08 11:00:00,252.06920000000002,177.00680206158202,0.0,272.5,0.0,0.0
2020-01-08 12:00:00,235.75729999999996,172.02930206158203,0.0,272.5,0.0,0.0
2020-01-08 13:00:00,233.88,178.12680206158203,0.0,272.5,0.0,0.0
2020-01-08 14:00:00,248.12920000000005,185.296802061582,0.0,272.5,0.0,0.0
2020-01-08 15:00:00,259.24920000000003,189.746802061582,0.0,272.5,0.0,0.0
2020-01-08 16:00:00,259.6492,185.336802061582,0.0,272.5,0.0,0.0
2020-01-08 17:00:00,255.29919999999998,184.846802061582,0.0,272.5,0.0,0.0
2020-01-08 18:00:00,261.2566,189.689502061582,0.0,272.5,0.0,0.0
2020-01-08 19:00:00,301.70000000000005,207.5,0.0,272.5,0.0,0.0
2020-01-08 20:00:00,303.70000000000005,207.5,0.0,272.5,0.0,0.0
2020-01-08 21:00:00,286.08820000000003,206.18300206158202,0.0,272.5,0.0,0.0
2020-01-08 22:00:00,245.73999999999998,191.52580206158203,0.0,272.5,0.0,0.0
2020-01-08 23:00:00,221.84920000000002,175.90164975572202,0.0,272.5,0.0,0.0
2020-01-09 00:00:00,195.29919999999998,164.891649755722,0.0,272.5,0.0,0.0
2020-01-09 01:00:00,168.92249999999999,162.52824975572202,0.0,272.5,0.0,0.0
2020-01-09 02:00:00,163.76919999999998,162.56164975572202,0.0,272.5,0.0,0.0
2020-01-09 03:00:00,148.39,161.831649755722,0.0,272.5,0.0,0.0
2020-01-09 04:00:00,150.29,154.927849755722,0.0,272.5,0.0,0.0
2020-01-09 05:00:00,172.8192,159.87164975572202,0.0,270.1048190840516,0.0,0.0
2020-01-09 06:00:00,218.99919999999997,162.23164975572203,0.0,272.5,0.0,0.0
2020-01-09 07:00:00,233.00920000000002,168.171649755722,0.0,272.5,0.0,0.0
2020-01-09 08:00:00,244.88919999999996,178.911649755722,0.0,272.5,0.0,0.0
2020-01-09 09:00:00,252.0792,181.421649755722,0.0,272.5,0.0,0.0
2020-01-09 10:00:00,254.68920000000003,187.041649755722,0.0,272.5,0.0,0.0
2020-01-09 11:00:00,255.03919999999997,186.381649755722,0.0,272.5,0.0,0.0
2020-01-09 12:00:00,228.28000000000003,175.687849755722,0.0,272.5,0.0,0.0
2020-01-09 13:00:00,236.14000000000001,179.847849755722,0.0,272.5,0.0,0.0
2020-01-09 14:00:00,243.73663607548997,192.351649755722,0.0,272.5,0.0,0.0
2020-01-09 15:00:00,244.70663607548997,194.751649755722,0.0,272.5,0.0,0.0
2020-01-09 16:00:00,246.59663607548993,190.15164975572202,0.0,272.5,0.0,0.0
2020-01-09 17:00:00,233.16743607548997,187.221649755722,0.0,272.5,0.0,0.0
2020-01-09 18:00:00,236.77743607549,194.411649755722,0.0,272.5,0.0,0.0
2020-01-09 19:00:00,299.03093607549,207.5,0.0,272.5,0.0,0.0
2020-01-09 20:00:00,301.33523607549,207.5,0.0,272.5,0.0,0.0
2020-01-09 21:00:00,283.16663607549,207.5,0.0,272.5,0.0,0.0
2020-01-09 22:00:00,243.59663607548995,199.505732321352,0.0,272.5,0.0,0.0
2020-01-09 23:00:00,206.59663607548995,184.75613232135203,0.0,272.5,0.0,0.0
2020-01-10 00:00:00,168.31663607548995,169.24433232135203,0.0,272.5,0.0,0.0
2020-01-10 01:00:00,147.63863607548996,164.36993232135202,0.0,272.5,0.0,0.0
2020-01-10 02:00:00,132.44743607548997,165.83993232135202,0.0,272.5,0.0,0.0
2020-01-10 03:00:00,129.50743607548995,162.68993232135202,0.0,272.5,0.0,0.0
2020-01-10 04:00:00,133.80743607548996,153.49613232135204,0.0,272.5,0.0,0.0
2020-01-10 05:00:00,154.57053607548997,149.55143232135202,0.0,272.5,0.0,0.0
2020-01-10 06:00:00,197.37663607548998,160.74993232135202,0.0,272.5,0.0,0.0
2020-01-10 07:00:00,226.6766360754899,171.11993232135202,0.0,272.5,0.0,0.0
2020-01-10 08:00:00,245.47663607548995,178.49993232135202,0.0,272.5,0.0,0.0
2020-01-10 09:00:00,254.80663607548996,180.80993232135202,0.0,272.5,0.0,0.0
2020-01-10 10:00:00,264.66663607549,185.85993232135203,0.0,272.5,0.0,0.0
2020-01-10 11:00:00,264.98663607548997,184.02993232135202,0.0,272.5,0.0,0.0
2020-01-10 12:00:00,245.83663607549,179.57993232135203,0.0,272.5,0.0,0.0
2020-01-10 13:00:00,256.40663607549,182.90623232135204,0.0,272.5,0.0,0.0
2020-01-10 14:00:00,265.23663607548997,188.759932321352,0.0,272.5,0.0,0.0
2020-01-10 15:00:00,265.18663607548996,192.45993232135203,0.0,272.5,0.0,0.0
2020-01-10 16:00:00,258.64663607549,193.569932321352,0.0,272.5,0.0,0.0
2020-01-10 17:00:00,243.65032849984993,194.789932321352,0.0,272.5,0.0,0.0
2020-01-10 18:00:00,260.08663607549005,205.319932321352,0.0,272.5,0.0,0.0
2020-01-10 19:00:00,318.5434436511301,207.5,0.0,272.5,0.0,0.0
2020-01-10 20:00:00,322.21663607549004,207.5,0.0,272.5,0.0,0.0
2020-01-10 21:00:00,293.90663607549,207.00671766430204,0.0,272.5,0.0,0.0
2020-01-10 22:00:00,249.93663607548996,201.20649744986204,0.0,272.5,0.0,0.0
2020-01-10 23:00:00,194.15663607548996,182.44649744986202,0.0,272.5,0.0,0.0
2020-01-11 00:00:00,167.28723607548994,174.89649744986204,0.0,272.5,0.0,0.0
2020-01-11 01:00:00,148.14833607548996,170.92649744986204,0.0,272.5,0.0,0.0
2020-01-11 02:00:00,142.06013607548996,167.04649744986204,0.0,272.5,0.0,0.0
2020-01-11 03:00:00,133.94743607548997,165.57149744986202,0.0,272.5,0.0,0.0
2020-01-11 04:00:00,138.27743607548996,160.14269744986203,0.0,272.5,0.0,0.0
2020-01-11 05:00:00,159.50663607548995,160.61649744986204,0.0,272.5,0.0,0.0
2020-01-11 06:00:00,167.08663607548996,152.58269744986202,0.0,272.5,0.0,0.0
2020-01-11 07:00:00,194.96663607548996,166.76649744986204,0.0,272.5,0.0,0.0
2020-01-11 08:00:00,220.21663607549,169.85649744986202,0.0,272.5,0.0,0.0
2020-01-11 09:00:00,234.4966360754899,175.45649744986204,0.0,272.5,0.0,0.0
2020-01-11 10:00:00,218.66993607548994,179.69649744986202,0.0,272.5,0.0,0.0
2020-01-11 11:00:00,232.46353607549,176.68649744986203,0.0,272.5,0.0,0.0
2020-01-11 12:00:00,227.82663607549,168.21169744986207,0.0,272.5,0.0,0.0
2020-01-11 13:00:00,213.10743607549,169.56189744986202,0.0,272.5,0.0,0.0
2020-01-11 14:00:00,219.70743607548994,175.55649744986204,0.0,272.5,0.0,0.0
2020-01-11 15:00:00,230.93663607548996,165.67269744986203,0.0,272.5,0.0,0.0
2020-01-11 16:00:00,220.65743607548998,164.95269744986203,0.0,272.5,0.0,0.0
2020-01-11 17:00:00,242.17663607548997,176.01649744986204,0.0,272.5,0.0,0.0
2020-01-11 18:00:00,252.14663607549002,189.85649744986202,0.0,272.5,0.0,0.0
2020-01-11 19:00:00,307.24663607548996,207.5,0.0,272.5,0.0,0.0
2020-01-11 20:00:00,299.99663607548996,207.5,0.0,272.5,0.0,0.0
2020-01-11 21:00:00,275.69663607549,207.5,0.0,272.5,0.0,0.0
2020-01-11 22:00:00,237.31663607548998,198.27649744986203,0.0,272.5,0.0,0.0
2020-01-11 23:00:00,198.75663607548995,183.55649744986204,0.0,272.5,0.0,0.0
2020-01-12 00:00:00,160.26073607548994,169.88649744986202,0.0,272.5,0.0,0.0
2020-01-12 01:00:00,145.82243607548997,165.23649744986204,0.0,272.5,0.0,0.0
2020-01-12 02:00:00,139.09623607548997,162.49649744986203,0.0,272.5,0.0,0.0
2020-01-12 03:00:00,130.25743607548995,160.87649744986203,0.0,256.14083816810313,0.0,0.0
2020-01-12 04:00:00,129.57743607548997,159.93649744986203,0.0,268.83481908405156,0.0,0.0
2020-01-12 05:00:00,125.02743607548996,145.63099489972404,0.0,236.09481908405158,0.0,0.0
2020-01-12 06:00:00,131.72743607548998,143.69269744986204,0.0,229.56481908405152,0.0,0.0
2020-01-12 07:00:00,158.92743607548996,138.51269744986203,0.0,244.00251908405153,0.0,0.0
2020-01-12 08:00:00,172.52343607548994,147.52269744986202,0.0,272.5,0.0,0.0
2020-01-12 09:00:00,191.53623607548997,155.99649744986203,0.0,272.5,0.0,0.0
2020-01-12 10:00:00,193.31663607548995,159.84649744986203,0.0,272.5,0.0,0.0
2020-01-12 11:00:00,192.05663607548996,161.08649744986204,0.0,272.5,0.0,0.0
2020-01-12 12:00:00,171.96743607548996,156.10649744986202,0.0,272.5,0.0,0.0
2020-01-12 13:00:00,172.69743607548997,146.54969744986207,0.0,272.5,0.0,0.0
2020-01-12 14:00:00,183.93663607548996,156.18269744986205,0.0,272.5,0.0,0.0
2020-01-12 15:00:00,174.11913607548996,162.54649744986204,0.0,272.5,0.0,0.0
2020-01-12 16:00:00,184.11093607548995,155.14269744986203,0.0,272.5,0.0,0.0
2020-01-12 17:00:00,186.50053607548998,164.14969744986203,0.0,272.5,0.0,0.0
2020-01-12 18:00:00,206.42073607548997,176.02559744986203,0.0,272.5,0.0,0.0
2020-01-12 19:00:00,287.38903607549,203.35149744986205,0.0,272.5,0.0,0.0
2020-01-12 20:00:00,289.46663607549,205.82649744986202,0.0,272.5,0.0,0.0
2020-01-12 21:00:00,265.36663607548996,188.17649744986207,0.0,272.5,0.0,0.0
2020-01-12 22:00:00,226.58663607549,178.79649744986204,0.0,272.5,0.0,0.0
2020-01-12 23:00:00,187.31663607548995,168.77649744986203,0.0,272.5,0.0,0.0
2020-01-13 00:00:00,145.76743607548997,153.97269744986204,0.0,272.5,0.0,0.0
2020-01-13 01:00:00,143.27663607548996,158.24649744986203,0.0,272.5,0.0,0.0
2020-01-13 02:00:00,126.19743607548996,147.16269744986204,0.0,272.5,0.0,0.0
2020-01-13 03:00:00,123.03743607548995,149.51539744986204,0.0,272.5,0.0,0.0
2020-01-13 04:00:00,131.32983607548996,155.72429744986204,0.0,272.5,0.0,0.0
2020-01-13 05:00:00,161.44663607548998,153.90119744986202,0.0,272.5,0.0,0.0
2020-01-13 06:00:00,181.10743607548997,158.38649744986202,0.0,272.5,0.0,0.0
2020-01-13 07:00:00,218.98673607548997,161.03649744986205,0.0,272.5,0.0,0.0
2020-01-13 08:00:00,242.21323607548996,146.32769744986203,0.0,272.5,0.0,0.0
2020-01-13 09:00:00,254.55663607548993,163.74364744986204,0.0,272.5,0.0,0.0
2020-01-13 10:00:00,259.26663607549,183.29649744986207,0.0,272.5,0.0,0.0
2020-01-13 11:00:00,258.61663607548996,181.15649744986206,0.0,272.5,0.0,0.0
2020-01-13 12:00:00,234.10073607548998,140.72649744986202,0.0,272.5,0.0,0.0
2020-01-13 13:00:00,257.15663607549,170.53649744986203,0.0,272.5,0.0,0.0
2020-01-13 14:00:00,257.90365922248986,185.43649744986203,0.0,272.5,0.0,0.0
2020-01-13 15:00:00,263.25663607549006,185.67649744986204,0.0,272.5,0.0,0.0
2020-01-13 16:00:00,259.21663607549,186.26649744986204,0.0,272.5,0.0,0.0
2020-01-13 17:00:00,254.16663607548998,186.17649744986204,0.0,272.5,0.0,0.0
2020-01-13 18:00:00,262.30663607548996,197.33022244131405,0.0,272.5,0.0,0.0
2020-01-13 19:00:00,317.53743607549,207.5,0.0,272.5,0.0,0.0
2020-01-13 20:00:00,323.73371292849015,207.5,0.0,272.5,0.0,0.0
2020-01-13 21:00:00,292.15663607549,207.5,0.0,272.5,0.0,0.0
2020-01-13 22:00:00,238.47663607548998,195.12179744986204,0.0,272.5,0.0,0.0
2020-01-13 23:00:00,197.24673607548996,179.97649744986202,0.0,272.5,0.0,0.0
2020-01-14 00:00:00,157.69743607548997,167.37649744986203,0.0,272.5,0.0,0.0
2020-01-14 01:00:00,143.86883607548995,155.77719744986203,0.0,272.5,0.0,0.0
2020-01-14 02:00:00,134.16623607548996,159.65889744986202,0.0,272.5,0.0,0.0
2020-01-14 03:00:00,130.47883607548997,160.25629744986205,0.0,272.5,0.0,0.0
2020-01-14 04:00:00,141.12663607548998,158.44349744986204,0.0,272.5,0.0,0.0
2020-01-14 05:00:00,144.81743607548995,153.90119744986202,0.0,272.5,0.0,0.0
