,[66] - VALLE DE ZONGO - TIQUIMANI,[25] - CORANI,[30] - ANGOSTURA,[28] - MISICUNI,[118] - SAN JACINTO,[65] - SISTEMA ZONGO,[69] - VALLE DE ZONGO - SANTA ROSA,[75] - CHOJLLA,[29] - MIGUILLA
2020-06-20 08:00:00,0.2157175945733538,0.999584604769937,0.173106125,0.9994086441209027,0.9490924809711268,0.8688676795352515,0.08212695001408843,0.8024284171840452,0.997313992991566
2020-06-20 09:00:00,0.21538727997533874,0.9995851375928549,0.173106125,0.9993246406607338,0.9491229469229092,0.8689232350698946,0.08212695001408843,0.8041211493032714,0.9972533484349038
2020-06-20 10:00:00,0.2150569653773237,0.9974681571639747,0.173106125,0.9992406372005648,0.9491534128746917,0.8689787906045376,0.08212695001408843,0.8058138814224975,0.9971927038782415
2020-06-20 11:00:00,0.21472665077930864,0.9985269137898737,0.173106125,0.9991566337403959,0.9491838788264741,0.8690343461391807,0.08212695001408843,0.8075066135417237,0.9971320593215793
2020-06-20 12:00:00,0.21439633618129358,0.9990562921028231,0.173106125,0.999072630280227,0.9492143447782567,0.8690899016738239,0.08212695001408843,0.8091993456609498,0.9970714147649171
2020-06-20 13:00:00,0.21406602158327853,0.9993209812592978,0.173106125,0.9993380735294349,0.9492448107300392,0.869145457208467,0.08212695001408843,0.8108920777801759,0.9970107702082549
2020-06-20 14:00:00,0.21373570698526348,0.9994533258375352,0.173106125,0.999254070069266,0.9492752766818217,0.8692010127431101,0.08212695001408843,0.8125848098994021,0.9969501256515927
2020-06-20 15:00:00,0.21340539238724843,0.999519498126654,0.173106125,0.999170066609097,0.9493057426336041,0.8692565682777532,0.08212695001408843,0.8142775420186281,0.9968894810949305
2020-06-20 16:00:00,0.21307507778923337,0.9995525842712133,0.173106125,0.9990860631489281,0.9493362085853867,0.8693121238123963,0.08212695001408843,0.8159702741378543,0.9968288365382683
2020-06-20 17:00:00,0.21274476319121832,0.9974681571639747,0.173106125,0.9990020596887592,0.9493666745371692,0.8693676793470394,0.08212695001408843,0.8176630062570804,0.996768191981606
2020-06-20 18:00:00,0.21241444859320327,0.9985269137898737,0.173106125,0.9989180562285903,0.9479000532592928,0.8670296947512305,0.08212695001408843,0.8134248260907925,0.9967075474249438
2020-06-20 19:00:00,0.21208413399518822,0.9974681571639747,0.173106125,0.9988340527684214,0.9479042305797489,0.8646917101554215,0.08212695001408843,0.8091866459245045,0.9966469028682816
2020-06-20 20:00:00,0.21175381939717317,0.9985269137898737,0.173106125,0.9987500493082524,0.9479346965315314,0.8623537255596125,0.08212695001408843,0.8049484657582165,0.9965862583116194
2020-06-20 21:00:00,0.2114235047991581,0.9990562921028231,0.173106125,0.9986660458480835,0.9479651624833139,0.8600157409638035,0.08212695001408843,0.8007102855919286,0.9965256137549572
2020-06-20 22:00:00,0.2113863384684917,0.9993209812592978,0.173106125,0.9985820423879146,0.9479956284350964,0.8600712964984466,0.08212695001408843,0.8024030177111546,0.996464969198295
2020-06-20 23:00:00,0.21134917213782528,0.9994533258375352,0.173106125,0.9988249853406764,0.9480260943868789,0.8601268520330897,0.08212695001408843,0.8040957498303808,0.9964043246416328
2020-06-21 00:00:00,0.21134917213782528,0.999519498126654,0.173106125,0.9990829982287953,0.9480565603386614,0.8601824075677329,0.08212695001408843,0.8057516834267006,0.996330270773955
2020-06-21 01:00:00,0.21134917213782528,0.9995525842712133,0.173106125,0.9993410111169142,0.9480870262904438,0.860237963102376,0.08212695001408843,0.8074076170230204,0.9962562169062772
2020-06-21 02:00:00,0.21134917213782528,0.9995691273434928,0.173106125,0.9995990240050331,0.9481174922422264,0.8602935186370191,0.08212695001408843,0.8090635506193402,0.9961821630385995
2020-06-21 03:00:00,0.21134917213782528,0.9995773988796327,0.173106125,0.9996668418662782,0.9481479581940089,0.8603490741716622,0.08212695001408843,0.8107194842156601,0.9961081091709217
2020-06-21 04:00:00,0.21134917213782528,0.9995815346477025,0.173106125,0.9995754080450202,0.9481784241457913,0.8604046297063053,0.08212695001408843,0.8123754178119799,0.996034055303244
2020-06-21 05:00:00,0.21134917213782528,0.9995836025317376,0.173106125,0.9994839742237622,0.9482088900975738,0.8604601852409484,0.08212695001408843,0.8140313514082996,0.9959600014355662
2020-06-21 06:00:00,0.21134917213782528,0.9995846364737551,0.173106125,0.9997419871118811,0.9482393560493564,0.8605157407755915,0.08212695001408843,0.8156872850046195,0.9958859475678884
2020-06-21 07:00:00,0.21134917213782528,0.9995851534447637,0.173106125,0.9996505532906231,0.9482698220011389,0.8605712963102345,0.08212695001408843,0.8173432186009393,0.9958118937002106
2020-06-21 08:00:00,0.21134917213782528,0.9995854119302682,0.173106125,0.9995591194693652,0.9483002879529213,0.8606268518448776,0.08212695001408843,0.8189991521972592,0.9957378398325328
2020-06-21 09:00:00,0.21134917213782528,0.9995855411730202,0.173106125,0.9997419871118811,0.9483307539047038,0.8606824073795208,0.08212695001408843,0.8206550857935789,0.995663785964855
2020-06-21 10:00:00,0.21134917213782528,0.9995856057943963,0.173106125,0.9997419871118811,0.9483612198564864,0.8607379629141639,0.08212695001408843,0.8223110193898987,0.9955897320971773
2020-06-21 11:00:00,0.21134917213782528,0.9995856381050845,0.173106125,0.9997419871118811,0.9483916858082688,0.860793518448807,0.08212695001408843,0.8239669529862186,0.9955156782294995
2020-06-21 12:00:00,0.21134917213782528,0.9995856542604286,0.173106125,0.9997419871118811,0.9484221517600513,0.8608490739834501,0.08212695001408843,0.8256228865825384,0.9954416243618217
2020-06-21 13:00:00,0.21134917213782528,0.9995856623381004,0.173106125,0.9996505532906231,0.9484526177118338,0.8609046295180932,0.08212695001408843,0.8272788201788582,0.9953675704941439
2020-06-21 14:00:00,0.21134917213782528,0.9995856663769364,0.173106125,0.9997419871118811,0.9484830836636162,0.8609601850527363,0.08212695001408843,0.828934753775178,0.9952935166264661
2020-06-21 15:00:00,0.21134917213782528,0.9995856683963543,0.173106125,0.9997419871118811,0.9485135496153988,0.8610157405873794,0.08212695001408843,0.8305906873714978,0.9952194627587884
2020-06-21 16:00:00,0.21134917213782528,0.9995856694060635,0.173106125,0.9997419871118811,0.9485440155671813,0.8610712961220225,0.08212695001408843,0.8322466209678177,0.9951454088911106
2020-06-21 17:00:00,0.21134917213782528,0.9995856699109179,0.173106125,0.9996573241516531,0.9485744815189637,0.8611268516566656,0.08212695001408843,0.8339025545641374,0.9950713550234328
2020-06-21 18:00:00,0.21102619786489074,0.9995856701633451,0.173106125,0.9995658903303951,0.9477295522423107,0.8594872991847795,0.07102326534250945,0.8296275758749432,0.9949973011557551
2020-06-21 19:00:00,0.21070322359195623,0.9995856702895589,0.173106125,0.9994744565091371,0.9477600181940933,0.8595428547194226,0.05991958067093048,0.8253525971857488,0.9949232472880774
2020-06-21 20:00:00,0.2103802493190217,0.9995856703526658,0.173106125,0.9993830226878792,0.9477904841458757,0.8595984102540657,0.05991958067093048,0.8210776184965546,0.9948491934203996
