,SU -> CE,CE -> NO,OR -> CE,CE -> SU,CE -> OR,NO -> CE
2020-01-08 15:00:00,0.0,0.0,0.0,153.738018152572,272.5,72.55210113035993
2020-01-08 16:00:00,0.0,0.0,0.0,159.648830253592,272.5,72.15210113035995
2020-01-08 17:00:00,0.0,0.0,0.0,188.1959224915999,272.5,87.98130113035995
2020-01-08 18:00:00,0.0,0.0,0.0,191.20714851761204,272.5,68.70210113035996
2020-01-08 19:00:00,0.0,0.0,0.0,207.5,272.5,30.101301130359943
2020-01-08 20:00:00,0.0,0.0,0.0,207.5,272.5,28.101301130359982
2020-01-08 21:00:00,0.0,0.0,0.0,207.5,272.5,39.90090113035995
2020-01-08 22:00:00,0.0,0.0,0.0,196.82194715154205,272.5,74.58210113035996
2020-01-08 23:00:00,0.0,0.0,0.0,171.52321949870205,272.5,116.92320113035991
2020-01-09 00:00:00,0.0,0.0,0.0,164.698519498702,272.5,133.78523026108996
2020-01-09 01:00:00,0.0,0.0,0.0,164.06851949870202,272.5,150.86955008761998
2020-01-09 02:00:00,0.0,0.0,0.0,159.30851949870203,272.5,175.79195008762
2020-01-09 03:00:00,0.0,0.0,0.0,153.554719498702,272.5,168.58955008761998
2020-01-09 04:00:00,0.0,0.0,0.0,162.81851949870202,272.5,166.68955008761998
2020-01-09 05:00:00,0.0,0.0,0.0,153.98991949870202,270.1048190840516,165.44295008761998
2020-01-09 06:00:00,0.0,0.0,0.0,152.07427785568203,272.5,120.93875008761995
2020-01-09 07:00:00,0.0,0.0,0.0,173.483765318528,272.5,95.44955008761991
2020-01-09 08:00:00,0.0,0.0,0.0,147.95179024372203,272.5,90.57575008762
2020-01-09 09:00:00,0.0,0.0,0.0,186.733765318528,272.5,76.37955008761998
2020-01-09 10:00:00,0.0,0.0,0.0,192.353765318528,272.5,73.76955008761995
2020-01-09 11:00:00,0.0,0.0,0.0,122.23349389572202,272.5,73.41955008762
2020-01-09 12:00:00,0.0,0.0,0.0,125.98337288068198,272.5,93.10265008761996
2020-01-09 13:00:00,0.0,0.0,0.0,139.858775602702,272.5,92.31875008761996
2020-01-09 14:00:00,0.0,0.0,0.0,148.715629104682,272.5,73.98955008761996
2020-01-09 15:00:00,0.0,0.0,0.0,158.06094314470204,272.5,73.01955008761998
2020-01-09 16:00:00,0.0,0.0,0.0,163.19795650568201,272.5,79.02557177313996
2020-01-09 17:00:00,0.0,0.0,0.0,192.533765318528,272.5,73.07955008761996
2020-01-09 18:00:00,0.0,0.0,0.0,192.82981416370203,272.5,69.46955008761996
2020-01-09 19:00:00,0.0,0.0,0.0,207.5,272.5,20.460193614360115
2020-01-09 20:00:00,0.0,0.0,0.0,207.5,272.5,20.169684875359934
2020-01-09 21:00:00,0.0,0.0,0.0,207.5,272.5,36.414150087620015
2020-01-09 22:00:00,0.0,0.0,0.0,200.918519498702,272.5,74.12955008761996
2020-01-09 23:00:00,0.0,0.0,0.0,186.59851949870202,272.5,111.12955008761998
2020-01-10 00:00:00,0.0,0.0,0.0,171.77993232135202,272.5,148.69907921834997
2020-01-10 01:00:00,0.0,0.0,0.0,156.28613232135203,272.5,170.17927921835002
2020-01-10 02:00:00,0.0,0.0,0.0,162.17843232135203,272.5,172.30187921835
2020-01-10 03:00:00,0.0,0.0,0.0,162.68993232135202,272.5,169.21007921835005
2020-01-10 04:00:00,0.0,0.0,0.0,160.99313232135202,272.5,166.60747921835
2020-01-10 05:00:00,0.0,0.0,0.0,147.52613232135204,272.5,161.55927921834999
2020-01-10 06:00:00,0.0,0.0,0.0,164.545865318528,272.5,112.82007921834995
2020-01-10 07:00:00,0.0,0.0,0.0,150.64636479633202,272.5,83.52007921835002
2020-01-10 08:00:00,0.0,0.0,0.0,183.763765318528,272.5,64.72007921835
2020-01-10 09:00:00,0.0,0.0,0.0,140.243100762332,272.5,66.86927921835002
2020-01-10 10:00:00,0.0,0.0,0.0,191.123765318528,272.5,45.53007921835005
2020-01-10 11:00:00,0.0,0.0,0.0,134.705143196332,272.5,56.68927921835002
2020-01-10 12:00:00,0.0,0.0,0.0,184.843765318528,272.5,67.33457921834997
2020-01-10 13:00:00,0.0,0.0,0.0,189.903765318528,272.5,53.79007921835
2020-01-10 14:00:00,0.0,0.0,0.0,194.02376531852798,272.5,44.96007921835002
2020-01-10 15:00:00,0.0,0.0,0.0,197.723765318528,272.5,52.45397921835006
2020-01-10 16:00:00,0.0,0.0,0.0,198.83376531852798,272.5,51.550079218349964
2020-01-10 17:00:00,0.0,0.0,0.0,200.05376531852798,272.5,55.90007921834998
2020-01-10 18:00:00,0.0,0.0,0.0,191.42156771468404,272.5,57.46043276915945
2020-01-10 19:00:00,0.0,15.721774332459505,0.0,207.5,272.5,0.0
2020-01-10 20:00:00,0.0,11.336820781650005,0.0,207.5,272.5,0.0
2020-01-10 21:00:00,0.0,0.0,0.0,207.5,272.5,16.29007921835003
2020-01-10 22:00:00,0.0,0.0,0.0,199.45423232135204,272.5,62.79747921835001
2020-01-10 23:00:00,0.0,0.0,0.0,182.40991065820202,272.5,116.04007921835
2020-01-11 00:00:00,0.0,0.0,0.0,173.26532769299203,272.5,145.0792145278
2020-01-11 01:00:00,0.0,0.0,0.0,171.11962769299203,272.5,152.3129145278
2020-01-11 02:00:00,0.0,0.0,0.0,159.15582769299203,272.5,169.9592145278
2020-01-11 03:00:00,0.0,0.0,0.0,166.829627692992,272.5,162.90001452779995
2020-01-11 04:00:00,0.0,0.0,0.0,165.42022769299203,272.5,166.60041452779996
2020-01-11 05:00:00,0.0,0.0,0.0,160.80962769299202,272.5,148.8200145278
2020-01-11 06:00:00,0.0,0.0,0.0,157.184439368012,272.5,152.71921452779998
2020-01-11 07:00:00,0.0,0.0,0.0,161.05784339201202,272.5,113.36001452779993
2020-01-11 08:00:00,0.0,0.0,0.0,137.394277851972,272.5,99.58921452779994
2020-01-11 09:00:00,0.0,0.0,0.0,180.623765318528,272.5,73.83001452780002
2020-01-11 10:00:00,0.0,0.0,0.0,184.86376531852798,272.5,84.71001452779998
2020-01-11 11:00:00,0.0,0.0,0.0,139.935227035012,272.5,74.52601452779993
2020-01-11 12:00:00,0.0,0.0,0.0,173.23286531852804,272.5,80.50001452779993
2020-01-11 13:00:00,0.0,0.0,0.0,180.99376531852798,272.5,95.21921452779993
2020-01-11 14:00:00,0.0,0.0,0.0,155.771844205992,272.5,77.14001452779999
2020-01-11 15:00:00,0.0,0.0,0.0,178.92376531852798,272.5,77.39001452779998
2020-01-11 16:00:00,0.0,0.0,0.0,178.20376531852799,272.5,76.19001452779993
2020-01-11 17:00:00,0.0,0.0,0.0,176.957933558992,272.5,66.15001452779998
2020-01-11 18:00:00,0.0,0.0,0.0,195.02376531852798,272.5,56.18001452779994
2020-01-11 19:00:00,0.0,0.0,0.0,207.5,272.5,10.251914527800038
2020-01-11 20:00:00,0.0,0.0,0.0,207.5,272.5,8.330014527799998
2020-01-11 21:00:00,0.0,0.0,0.0,200.26582769299202,272.5,44.10921452779994
2020-01-11 22:00:00,0.0,0.0,0.0,198.49761758577202,272.5,71.01001452779997
2020-01-11 23:00:00,0.0,0.0,0.0,183.77761758577202,272.5,110.98451452779999
2020-01-12 00:00:00,0.0,0.0,0.0,163.603810261022,272.5,150.51236564241003
2020-01-12 01:00:00,0.0,0.0,0.0,165.47791026102203,272.5,160.08479008214
2020-01-12 02:00:00,0.0,0.0,0.0,162.73791026102202,272.5,167.15059008214
2020-01-12 03:00:00,0.0,0.0,0.0,161.11791026102202,259.93493816810314,166.78479008214
2020-01-12 04:00:00,0.0,0.0,0.0,160.17791026102202,268.83481908405156,178.20779008214
2020-01-12 05:00:00,0.0,0.0,0.0,152.817910261022,214.10841908405158,175.66069008214004
2020-01-12 06:00:00,0.0,0.0,0.0,148.859965318528,236.76481908405154,164.57859008213995
2020-01-12 07:00:00,0.0,0.0,0.0,121.530859740022,254.9948190840515,154.91779008214002
2020-01-12 08:00:00,0.0,0.0,0.0,160.77376531852798,272.5,130.23859008214
2020-01-12 09:00:00,0.0,0.0,0.0,111.882652478022,272.5,127.28779008213998
2020-01-12 10:00:00,0.0,0.0,0.0,108.16610827004202,272.5,114.46859008213997
2020-01-12 11:00:00,0.0,0.0,0.0,166.253765318528,272.5,115.72859008213996
2020-01-12 12:00:00,0.0,0.0,0.0,108.361882659022,272.5,125.02019008214
2020-01-12 13:00:00,0.0,0.0,0.0,150.699965318528,272.5,133.83824133168997
2020-01-12 14:00:00,0.0,0.0,0.0,169.433765318528,272.5,132.37785538709997
2020-01-12 15:00:00,0.0,0.0,0.0,162.134365318528,272.5,124.71207883634997
2020-01-12 16:00:00,0.0,0.0,0.0,168.39376531852798,272.5,119.55177883635001
2020-01-12 17:00:00,0.0,0.0,0.0,167.07791026102203,272.5,112.54607883634996
2020-01-12 18:00:00,0.0,0.0,0.0,177.32391026102204,272.5,93.20607883634997
2020-01-12 19:00:00,0.0,0.0,0.0,197.05411026102203,272.5,16.391315051349977
2020-01-12 20:00:00,0.0,0.0,0.0,206.067910261022,272.5,24.39604262134992
2020-01-12 21:00:00,0.0,0.0,0.0,184.85421026102205,272.5,38.29607883635008
2020-01-12 22:00:00,0.0,0.0,0.0,179.03791026102203,272.5,83.01667883634997
2020-01-12 23:00:00,0.0,0.0,0.0,169.01791026102202,272.5,116.34607883634996
