Dia/Mes,1980,1985,1990,1995,2000,2005,2010,2015,CORANI
05-Aug,16.74,28.32,19.17,17.58,17.76,17.80,17.86,28.36,
06-Aug,16.72,27.69,18.99,17.47,17.63,17.76,17.74,27.78,
07-Aug,16.63,27.17,19.18,17.35,17.51,17.67,17.62,27.28,0.48
08-Aug,16.55,26.95,19.57,17.24,17.39,17.55,17.50,27.20,
09-Aug,16.97,26.69,19.57,17.13,17.28,17.44,17.38,27.17,
10-Aug,17.68,26.20,19.36,17.03,17.74,17.34,17.27,26.74,
11-Aug,17.82,25.73,19.17,16.92,18.48,17.23,17.16,26.25,
12-Aug,17.74,25.27,18.99,16.82,18.71,17.13,17.06,25.89,
13-Aug,17.69,24.84,18.81,16.72,18.66,17.03,16.96,25.54,
14-Aug,18.16,24.42,18.65,16.67,18.50,16.93,16.86,25.47,0.43
15-Aug,18.85,24.02,18.57,16.75,18.34,16.83,16.76,25.63,
16-Aug,18.98,23.64,18.60,16.82,18.32,16.83,16.67,25.65,
17-Aug,18.82,23.32,18.63,16.78,18.33,17.09,16.59,25.53,
18-Aug,18.64,23.00,18.78,16.71,18.21,17.23,16.50,25.19,
19-Aug,18.48,22.67,19.11,16.63,18.05,17.18,16.41,24.75,
20-Aug,18.30,22.35,19.40,16.54,17.90,17.13,16.35,24.34,
21-Aug,18.23,22.05,19.48,16.45,17.76,17.07,16.29,23.93,1.46
22-Aug,18.22,21.76,19.32,16.37,17.63,17.02,16.20,23.55,
23-Aug,18.16,21.48,19.13,16.28,17.52,17.02,16.13,23.19,
24-Aug,18.09,21.21,18.95,16.20,17.41,17.12,16.05,23.08,
25-Aug,18.09,20.94,18.77,16.12,17.29,17.10,15.97,22.97,
26-Aug,18.87,20.74,18.60,16.04,17.21,16.98,15.91,23.89,
27-Aug,20.23,20.83,18.51,15.96,17.14,16.87,15.88,25.17,
28-Aug,20.64,20.84,18.43,15.89,17.10,16.77,15.84,25.07,1.05
29-Aug,20.34,20.59,18.28,15.82,17.06,16.66,15.85,24.59,
30-Aug,20.06,20.34,18.13,15.75,17.10,16.70,15.97,24.13,
31-Aug,19.81,20.60,18.04,15.68,17.41,16.87,16.01,23.70,
01-Sep,19.57,21.12,17.95,15.62,17.66,16.91,15.99,23.44,
02-Sep,19.41,21.15,17.82,15.56,17.99,16.82,15.97,23.22,
03-Sep,19.29,20.93,17.70,15.50,18.23,16.73,15.90,22.89,
04-Sep,19.24,20.69,17.58,15.44,18.10,16.63,15.83,22.54,0.75
05-Sep,19.16,20.45,17.47,15.38,17.96,16.64,15.78,22.21,
06-Sep,18.97,20.21,17.36,15.47,17.81,16.64,15.72,21.90,
07-Sep,18.80,19.98,17.25,15.55,17.67,16.55,15.65,21.99,
08-Sep,18.67,19.77,17.15,15.48,17.54,16.46,15.59,22.67,
09-Sep,18.69,19.66,17.05,15.43,17.41,16.37,15.53,22.89,
10-Sep,18.68,19.56,16.99,15.37,17.28,16.33,15.48,22.72,
11-Sep,18.57,19.39,17.25,15.39,17.16,16.58,15.42,22.67,0.42
12-Sep,18.46,19.20,17.62,15.80,17.04,16.94,15.36,22.45,
13-Sep,18.30,19.00,17.64,16.13,16.95,17.04,15.31,22.12,
14-Sep,18.14,18.87,17.51,16.03,16.90,16.98,15.25,21.80,
