,1980,1985,1990,1995,2000,2005,2010,2015,2020,Observed
52,0.580091449,0.527502939,0.508529384,0.524066525,0.51967595,0.515060927,0.535362724,0.515291525,0.47949269,0.500605876
53,0.582265506,0.528726935,0.509385193,0.525349196,0.520683441,0.516016918,0.536731484,0.516488106,0.479774014,0.501156753
54,0.584439564,0.529950932,0.510241002,0.526631866,0.521690932,0.516972909,0.538100244,0.517684686,0.480055338,0.501618679
55,0.586613622,0.531174928,0.511096811,0.527914537,0.522698423,0.5179289,0.539469005,0.518881267,0.480336662,0.50199411
56,0.588787679,0.532398924,0.51195262,0.529197207,0.523705914,0.518884891,0.540837765,0.520077848,0.480617986,0.502286186
57,0.590961737,0.533622921,0.512808429,0.530479878,0.524713405,0.519840882,0.542206525,0.521274429,0.48089931,0.502498664
58,0.593135795,0.534846917,0.513664238,0.531762548,0.525720896,0.520796873,0.543575286,0.52247101,0.481180634,0.502635856
59,0.595309853,0.536070913,0.514520047,0.533045219,0.526728387,0.521752864,0.544944046,0.523667591,0.481461958,0.502702559
60,0.59748391,0.53729491,0.515375857,0.53432789,0.527735878,0.522708854,0.546312806,0.524864172,0.481743282,0.502703993
61,0.599657968,0.538518906,0.516231666,0.53561056,0.528743369,0.523664845,0.547681566,0.526060752,0.482024606,0.50264573
62,0.601832026,0.539742902,0.517087475,0.536893231,0.52975086,0.524620836,0.549050327,0.527257333,0.48230593,0.502533634
63,0.604006083,0.540966899,0.517943284,0.538175901,0.530758351,0.525576827,0.550419087,0.528453914,0.482587254,0.502373791
64,0.606180141,0.542190895,0.518799093,0.539458572,0.531765842,0.526532818,0.551787847,0.529650495,0.482868578,0.502172447
65,0.608354199,0.543414891,0.519654902,0.540741242,0.532773333,0.527488809,0.553156607,0.530847076,0.483149903,0.501935937
66,0.610528256,0.544638888,0.520510711,0.542023913,0.533780824,0.5284448,0.554525368,0.532043657,0.483431227,0.501670624
67,0.612702314,0.545862884,0.52136652,0.543306584,0.534788315,0.529400791,0.555894128,0.533240238,0.483712551,0.501382832
68,0.614876372,0.54708688,0.52222233,0.544589254,0.535795806,0.530356782,0.557262888,0.534436819,0.483993875,0.501078777
69,0.61705043,0.548310877,0.523078139,0.545871925,0.536803297,0.531312772,0.558631648,0.535633399,0.484275199,0.500764507
70,0.619224487,0.549534873,0.523933948,0.547154595,0.537810788,0.532268763,0.560000409,0.53682998,0.484556523,0.50044583
71,0.621398545,0.550758869,0.524789757,0.548437266,0.538818279,0.533224754,0.561369169,0.538026561,0.484837847,0.500128253
72,0.623572603,0.551982866,0.525645566,0.549719936,0.53982577,0.534180745,0.562737929,0.539223142,0.485119171,0.499816914
73,0.625711302,0.553198151,0.526529816,0.551023361,0.540803539,0.535124181,0.564150503,0.540610094,0.485400495,0.499516516
74,0.627850001,0.554413436,0.527414065,0.552326785,0.541781309,0.536067617,0.565563077,0.541997046,0.485681819,0.499231262
75,0.629988701,0.55562872,0.528298314,0.553630209,0.542759079,0.537011054,0.566975651,0.543383998,0.485963143,0.49896479
76,0.6321274,0.556844005,0.529182564,0.554933634,0.543736848,0.53795449,0.568388224,0.544770949,0.486244467,0.49872013
77,0.6342661,0.55805929,0.530066813,0.556237058,0.544714618,0.538897926,0.569800798,0.546157901,0.486525791,0.498499714
78,0.636404799,0.559274575,0.530951063,0.557540482,0.545692387,0.539841362,0.571213372,0.547544853,0.486807115,0.498305411
79,0.638543499,0.56048986,0.531835312,0.558843907,0.546670157,0.540784798,0.572625946,0.548931805,0.487088439,0.498138558
80,0.640682198,0.561705145,0.532719562,0.560147331,0.547647926,0.541728234,0.57403852,0.550318757,0.487369763,0.497999998
81,0.642820897,0.56292043,0.533603811,0.561450755,0.548625696,0.54267167,0.575451093,0.551705709,0.487651087,0.497890113
82,0.644959597,0.564135715,0.534488061,0.56275418,0.549603465,0.543615107,0.576863667,0.55309266,0.487932411,0.497808854
83,0.647098296,0.565350999,0.53537231,0.564057604,0.550581235,0.544558543,0.578276241,0.554479612,0.488213735,0.497755781
84,0.649236996,0.566566284,0.53625656,0.565361028,0.551559004,0.545501979,0.579688815,0.555866564,0.488495059,0.497730092
85,0.651375695,0.567781569,0.537140809,0.566664453,0.552536774,0.546445415,0.581101388,0.557253516,0.488776383,0.49773066
86,0.653514395,0.568996854,0.538025059,0.567967877,0.553514543,0.547388851,0.582513962,0.558640468,0.489057707,0.497756064
87,0.655653094,0.570212139,0.538909308,0.569271301,0.554492313,0.548332287,0.583926536,0.56002742,0.489339032,0.497804629
88,0.657791793,0.571427424,0.539793558,0.570574726,0.555470082,0.549275723,0.58533911,0.561414371,0.489620356,0.497874451
89,0.659930493,0.572642709,0.540677807,0.57187815,0.556447852,0.55021916,0.586751684,0.562801323,0.48990168,0.497963439
90,0.662069192,0.573857994,0.541562057,0.573181574,0.557425622,0.551162596,0.588164257,0.564188275,0.490183004,0.498069345
91,0.664207892,0.575073278,0.542446306,0.574484999,0.558403391,0.552106032,0.589576831,0.565575227,0.490464328,0.498189799
92,0.666346591,0.576288563,0.543330556,0.575788423,0.559381161,0.553049468,0.590989405,0.566962179,0.490745652,0.498322342
93,0.668485291,0.577503848,0.544214805,0.577091847,0.56035893,0.553992904,0.592401979,0.568349131,0.491026976,0.498464462
94,0.67062399,0.578719133,0.545099054,0.578395272,0.5613367,0.55493634,0.593814552,0.569736083,0.4913083,0.498613627
