Scenario,region,id,r,fuel_class,fraction
Historical,NO,1997,16,SUN,0
Historical,NO,1997,16,WIN,0
Historical,NO,1997,16,WAT,0.9762
Historical,NO,1998,3,BIO,0
Historical,NO,1998,3,GAS,0.0325
Historical,NO,1998,3,OIL,0
Historical,NO,1998,3,SUN,0
Historical,NO,1998,3,WIN,0
Historical,NO,1998,3,WAT,0.9675
Historical,NO,1999,10,BIO,0
Historical,NO,1999,10,GAS,0.0278
Historical,NO,1999,10,OIL,0
Historical,NO,1999,10,SUN,0
Historical,NO,1999,10,WIN,0
Historical,NO,1999,10,WAT,0.9722
Historical,NO,2000,8,BIO,0
Historical,NO,2000,8,GAS,0.0281
Historical,NO,2000,8,OIL,0
Historical,NO,2000,8,SUN,0
Historical,NO,2000,8,WIN,0
Historical,NO,2000,8,WAT,0.9719
Historical,NO,2001,25,BIO,0
Historical,NO,2001,25,GAS,0.0188
Historical,NO,2001,25,OIL,0
Historical,NO,2001,25,SUN,0
Historical,NO,2001,25,WIN,0
Historical,NO,2001,25,WAT,0.9812
Historical,NO,2002,20,BIO,0
Historical,NO,2002,20,GAS,0.0205
Historical,NO,2002,20,OIL,0
Historical,NO,2002,20,SUN,0
Historical,NO,2002,20,WIN,0
Historical,NO,2002,20,WAT,0.9795
Historical,NO,2003,13,BIO,0
Historical,NO,2003,13,GAS,0.0254
Historical,NO,2003,13,OIL,0
Historical,NO,2003,13,SUN,0
Historical,NO,2003,13,WIN,0
Historical,NO,2003,13,WAT,0.9746
Historical,NO,2004,9,BIO,0
Historical,NO,2004,9,GAS,0.0281
Historical,NO,2004,9,OIL,0
Historical,NO,2004,9,SUN,0
Historical,NO,2004,9,WIN,0
Historical,NO,2004,9,WAT,0.9719
Historical,NO,2005,17,BIO,0
Historical,NO,2005,17,GAS,0.0231
Historical,NO,2005,17,OIL,0
Historical,NO,2005,17,SUN,0
Historical,NO,2005,17,WIN,0
Historical,NO,2005,17,WAT,0.9769
Historical,NO,2006,26,BIO,0
Historical,NO,2006,26,GAS,0.0183
Historical,NO,2006,26,OIL,0
Historical,NO,2006,26,SUN,0
Historical,NO,2006,26,WIN,0
Historical,NO,2006,26,WAT,0.9817
Historical,NO,2007,34,BIO,0
Historical,NO,2007,34,GAS,0.0137
Historical,NO,2007,34,OIL,0
Historical,NO,2007,34,SUN,0
Historical,NO,2007,34,WIN,0
Historical,NO,2007,34,WAT,0.9863
Historical,NO,2008,21,BIO,0
Historical,NO,2008,21,GAS,0.0202
Historical,NO,2008,21,OIL,0
Historical,NO,2008,21,SUN,0
Historical,NO,2008,21,WIN,0
Historical,NO,2008,21,WAT,0.9798
Historical,NO,2009,19,BIO,0
Historical,NO,2009,19,GAS,0.0221
Historical,NO,2009,19,OIL,0
Historical,NO,2009,19,SUN,0
Historical,NO,2009,19,WIN,0
Historical,NO,2009,19,WAT,0.9779
Historical,NO,2010,7,BIO,0
Historical,NO,2010,7,GAS,0.0282
Historical,NO,2010,7,OIL,0
Historical,NO,2010,7,SUN,0
Historical,NO,2010,7,WIN,0
Historical,NO,2010,7,WAT,0.9717
Historical,NO,2011,14,BIO,0
Historical,NO,2011,14,GAS,0.0248
Historical,NO,2011,14,OIL,0
Historical,NO,2011,14,SUN,0
Historical,NO,2011,14,WIN,0
Historical,NO,2011,14,WAT,0.9752
Historical,NO,2012,11,BIO,0
Historical,NO,2012,11,GAS,0.0266
Historical,NO,2012,11,OIL,0
Historical,NO,2012,11,SUN,0
Historical,NO,2012,11,WIN,0
Historical,NO,2012,11,WAT,0.9734
Historical,NO,2013,28,BIO,0
Historical,NO,2013,28,GAS,0.018
Historical,NO,2013,28,OIL,0
Historical,NO,2013,28,SUN,0
Historical,NO,2013,28,WIN,0
Historical,NO,2013,28,WAT,0.982
Historical,NO,2014,29,BIO,0
Historical,NO,2014,29,GAS,0.0173
Historical,NO,2014,29,OIL,0
Historical,NO,2014,29,SUN,0
Historical,NO,2014,29,WIN,0
Historical,NO,2014,29,WAT,0.9827
Historical,NO,2015,33,BIO,0
Historical,NO,2015,33,GAS,0.0142
Historical,NO,2015,33,OIL,0
