,AGUAS CALIENTES II ARENALES,MOLINEROS,CACHUELA ESPERANZA,CHEPETE,EL BALA,MIGUILLAS - PALILLADA,MUNECAS,PH_MADERA,OQUITAS
1980-05-20 00:00:00,2.569227685,0.583596193,1.101811623,0.615944878,1.153465801,13.21402631,0.358775089,0.790750321,0.679768741
1980-05-21 00:00:00,2.542682159,0.545722737,1.071442931,0.601447654,1.1252407,12.87856406,0.348200739,0.777786393,0.629820342
1980-05-22 00:00:00,2.128214612,0.515061728,1.044224666,0.582487968,0.964357624,12.56831999,0.33858481,0.766140507,0.550779211
1980-05-23 00:00:00,1.776323523,0.489873071,1.018241941,0.562810449,0.918068458,12.27347865,0.329603057,0.757635398,0.495062377
1980-05-24 00:00:00,1.509178782,0.468835262,0.993771014,0.545168094,0.864723016,11.98966083,0.321071362,0.743925927,0.453494673
1980-05-25 00:00:00,1.306492023,0.451308256,0.971129565,0.529286719,0.80149879,11.71950915,0.31301939,0.714330956,0.423078069
1980-05-26 00:00:00,1.141686119,0.436264918,0.950154016,0.515254245,0.762642234,11.48091795,0.30539702,0.686891328,0.398082294
1980-05-27 00:00:00,0.998794859,0.423094007,0.930789494,0.502231831,0.736863308,11.25184019,0.298375071,0.661509797,0.374832547
1980-05-28 00:00:00,0.881663942,0.411855838,0.912490297,0.489888305,0.70383994,11.01196543,0.291792952,0.639270695,0.361589896
1980-05-29 00:00:00,0.815236923,0.401911265,0.895066016,0.479223567,0.681165775,10.77956552,0.28556372,0.621405463,0.360479691
1980-05-30 00:00:00,0.756061306,0.392603138,0.878743539,0.471239081,0.670722488,10.55796262,0.279912406,0.608656627,0.356014761
1980-05-31 00:00:00,0.691231395,0.38421322,0.863577964,0.462964192,0.707226952,10.34844029,0.274471801,0.599484896,0.342652837
1980-06-01 00:00:00,0.724841142,0.37729784,0.848723701,0.453222049,0.739873986,10.14865791,0.270150208,0.595547827,0.337163898
1980-06-02 00:00:00,0.779779685,0.370931584,0.831407247,0.496452493,0.771862434,10.02468109,0.299409184,0.592555629,0.332178392
1980-06-03 00:00:00,0.747698979,0.365833719,0.813699939,0.590969702,0.799993451,9.981719572,0.379442022,0.584757568,0.320778448
1980-06-04 00:00:00,0.688564688,0.360665638,0.805145431,0.587244416,0.775719864,9.841962511,0.393055297,0.575807426,0.309409295
1980-06-05 00:00:00,0.630164531,0.354233668,0.775726379,0.54563128,0.736675141,9.625871367,0.361891751,0.554342632,0.297920399
1980-06-06 00:00:00,0.568548281,0.348734311,0.74028972,0.516073807,0.714847729,9.42548496,0.340737936,0.527992818,0.287066312
1980-06-07 00:00:00,0.520632635,0.349030478,0.710252424,0.493489327,0.695278326,9.235367036,0.324380322,0.529191008,0.278074185
1980-06-08 00:00:00,0.478855033,0.359513374,0.683857604,0.476138353,0.674956253,9.055517593,0.311646709,0.498246256,0.271293097
1980-06-09 00:00:00,0.481677319,0.361355195,0.660364984,0.46117625,0.674203583,8.882840987,0.301143959,0.474546479,0.265120192
1980-06-10 00:00:00,0.631591475,0.35161857,0.638909567,0.44676975,0.660937786,8.714090565,0.291284589,0.454468099,0.260928227
1980-06-11 00:00:00,0.754663534,0.343527521,0.618906601,0.433516915,0.6694994,8.552210966,0.282162703,0.437652606,0.257056166
1980-06-12 00:00:00,0.803447015,0.338192001,0.600356288,0.427252248,0.736675141,8.398259239,0.27724785,0.424928192,0.274086926
1980-06-13 00:00:00,0.938112079,0.334705504,0.584852282,0.452404375,0.787009904,8.896431625,0.284013061,0.417284666,0.297908263
1980-06-14 00:00:00,0.959577005,0.331219907,0.579161808,0.478446207,0.963416787,9.716626627,0.295634822,0.414971815,0.29349976
1980-06-15 00:00:00,0.846816862,0.326223765,0.574347404,0.467611486,0.938484614,9.601030701,0.294510697,0.41157456,0.279201574
1980-06-16 00:00:00,0.744594709,0.320013246,0.559958556,0.448841191,0.80535622,9.204712597,0.285250724,0.401580212,0.266822458
1980-06-17 00:00:00,0.688467452,0.315128729,0.543960342,0.433208993,0.721057251,8.896054107,0.27588642,0.389699477,0.261282159
1980-06-18 00:00:00,0.638150067,0.320113169,0.529289443,0.431689636,0.690668226,8.78151523,0.27201284,0.378854035,0.257149279
1980-06-19 00:00:00,0.570918418,0.32440445,0.518047044,0.444143163,0.746083508,8.970274091,0.273990033,0.369971172,0.250363343
